PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
54884,32.595994,129.3001337,0,-1.846,34.698,1,4929,34,90
54885,32.595994,129.3001375,0,-1.846,35.698,1,4929,34,90
54886,32.595994,129.3001414,0,-1.846,36.698,1,4929,34,90
54887,32.595994,129.3001452,0,-1.846,37.698,1,4929,34,90
54888,32.595994,129.3001491,0,-1.846,38.698,1,4929,34,90
54889,32.595994,129.3001529,0,-1.846,39.698,1,4929,34,90
54890,32.595994,129.3001568,0,-1.846,40.698,1,4929,34,90
54891,32.595994,129.3001606,0,-1.846,41.698,1,4929,34,90
54892,32.595994,129.3001645,0,-1.846,42.698,1,4929,34,90
54893,32.595994,129.3001684,0,-1.846,43.698,1,4929,34,90
54894,32.595994,129.3001722,0,-1.846,44.698,1,4929,34,90
54895,32.595994,129.3001761,0,-1.846,45.698,1,4929,34,90
54896,32.595994,129.3001799,0,-1.846,46.698,1,4929,34,90
54897,32.595994,129.3001838,0,-1.846,47.698,1,4929,34,90
54898,32.595994,129.3001876,0,-1.846,48.698,1,4929,34,90
54899,32.595994,129.3001915,0,-1.846,49.698,1,4929,34,90
54900,32.595994,129.3001953,0,-1.846,50.698,1,4929,34,90
54901,32.595994,129.3001992,0,-1.846,51.698,1,4929,34,90
54902,32.595994,129.300203,0,-1.846,52.698,1,4929,34,90
54903,32.595994,129.3002069,0,-1.846,53.698,1,4929,34,90
54904,32.595994,129.3002107,0,-1.846,54.698,1,4929,34,90
54905,32.595994,129.3002146,0,-1.846,55.698,1,4929,34,90
54906,32.595994,129.3002184,0,-1.846,56.698,1,4929,34,90
54907,32.595994,129.3002223,0,-1.846,57.698,1,4929,34,90
54908,32.595994,129.3002261,0,-1.846,58.698,1,4929,34,90
54909,32.595994,129.30023,0,-1.846,59.698,1,4929,34,90
54910,32.595994,129.3002338,0,-1.846,60.698,1,4929,34,90
54911,32.595994,129.3002377,0,-1.846,61.698,1,4929,34,90
54912,32.595994,129.3002415,0,-1.846,62.698,1,4929,34,90
54913,32.595994,129.3002454,0,-1.846,63.698,1,4929,34,90
54914,32.595994,129.3002493,0,-1.846,64.698,1,4929,34,90
54915,32.595994,129.3002531,0,-1.846,65.698,1,4929,34,90
54916,32.595994,129.300257,0,-1.846,66.698,1,4929,34,90
54917,32.595994,129.3002608,0,-1.846,67.698,1,4929,34,90
54918,32.595994,129.3002647,0,-1.846,68.698,1,4929,34,90
54919,32.595994,129.3002685,0,-1.846,69.698,1,4929,34,90
54920,32.595994,129.3002724,0,-1.846,70.698,1,4929,34,90
